case,idx,arm,k,zo,po,t2d,q2d,tn,qo,tshall,qshall,dhdt,us,vs,rhoi,omeg_in,zu,zd,cnvwt,cupclw,outt,outq,outqc,outu,outv,zus,cnvwts,cupclws,outts,outqs,outqcs,q2d_after,qo_after,omeg_after
4,4,1,35, 1.3174000000000000E+004, 1.8370455932617188E+002, 2.1843399047851562E+002, 1.8521510355640203E-005, 2.1843356323242188E+002, 1.8331669707549736E-005, 2.1843399047851562E+002, 1.8521510355640203E-005, 0.0000000000000000E+000, 2.4746000289916992E+001,-4.2655997276306152E+000, 2.9303056001663208E-001,-2.5122228741736308E-009, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.8521510355640203E-005, 1.8331669707549736E-005,-2.5122228741736308E-009
4,4,1,36, 1.3875000000000000E+004, 1.6480499267578125E+002, 2.1387750244140625E+002, 1.1748531505872961E-005, 2.1387705993652344E+002, 1.1516631275299005E-005, 2.1387750244140625E+002, 1.1748531505872961E-005, 0.0000000000000000E+000, 2.5797500610351562E+001,-4.5460000038146973E+000, 2.6848515868186951E-001,-2.3017892036847343E-009, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.1748531505872961E-005, 1.1516631275299005E-005,-2.3017892036847343E-009
4,4,1,37, 1.4594000000000000E+004, 1.4708146667480469E+002, 2.0920399475097656E+002, 7.1675249273539521E-006, 2.0920353698730469E+002, 6.8924850893381517E-006, 2.0920399475097656E+002, 7.1675249273539521E-006, 0.0000000000000000E+000, 2.6875999450683594E+001,-4.8336000442504883E+000, 2.4496506154537201E-001,-2.1001456129710050E-009, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 7.1675249273539521E-006, 6.8924850893381517E-006,-2.1001456129710050E-009
4,4,1,38, 1.5331000000000000E+004, 1.3061853027343750E+002, 2.0650000000000000E+002, 5.5949271882127505E-006, 2.0649952697753906E+002, 5.2756672630493995E-006, 2.0650000000000000E+002, 5.5949271882127505E-006, 0.0000000000000000E+000, 2.7981500625610352E+001,-5.1283998489379883E+000, 2.2039480507373810E-001,-1.8894987796613805E-009, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.5949271882127505E-006, 5.2756672630493995E-006,-1.8894987796613805E-009
4,4,1,39, 1.6086000000000000E+004, 1.1556677246093750E+002, 2.0650000000000000E+002, 6.3236761889129411E-006, 2.0649951171875000E+002, 5.9591161516436841E-006, 2.0650000000000000E+002, 6.3236761889129411E-006, 0.0000000000000000E+000, 2.9114000320434570E+001,-5.4303998947143555E+000, 1.9499765336513519E-001,-1.6717627282503145E-009, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 6.3236761889129411E-006, 5.9591161516436841E-006,-1.6717627282503145E-009
4,4,1,40, 1.6859000000000000E+004, 1.0195148468017578E+002, 2.0650000000000000E+002, 7.1682479756418616E-006, 2.0649949645996094E+002, 6.7573078013083432E-006, 2.0650000000000000E+002, 7.1682479756418616E-006, 0.0000000000000000E+000, 3.0273500442504883E+001,-5.7395997047424316E+000, 1.7202425003051758E-001,-1.4748061660796452E-009, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 7.1682479756418616E-006, 6.7573078013083432E-006,-1.4748061660796452E-009
5,4,1,1, 5.0000000000000000E+001, 1.0072590332031250E+003, 2.9673999023437500E+002, 1.3838131912052631E-002, 2.9674060058593750E+002, 1.3838849961757660E-002, 2.9674029541015625E+002, 1.3838252052664757E-002, 1.0033390484750271E-002, 5.0599999427795410E+000, 9.8400002717971802E-001, 1.1728234291076660E+000,-2.4088181089609861E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.3838131912052631E-002, 1.3838849961757660E-002,-2.4088181089609861E-004
5,4,1,2, 1.3900000000000000E+002, 9.9718029785156250E+002, 2.9616149902343750E+002, 1.3407559134066105E-002, 2.9616207885742188E+002, 1.3408271595835686E-002, 2.9616180419921875E+002, 1.3407679274678230E-002, 1.0018948465585709E-002, 5.1935000419616699E+000, 9.4840002059936523E-001, 1.1636589765548706E+000,-7.7064114157110453E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.7714439928531647E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.3407559134066105E-002, 1.3408271595835686E-002,-7.7064114157110453E-004
5,4,1,3, 2.4600000000000000E+002, 9.8517108154296875E+002, 2.9546600341796875E+002, 1.2904969975352287E-002, 2.9546658325195312E+002, 1.2905675917863846E-002, 2.9546630859375000E+002, 1.2905090115964413E-002, 1.0001604445278645E-002, 5.3540000915527344E+000, 9.0560001134872437E-001, 1.1527016162872314E+000,-1.3959564967080951E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.2904969975352287E-002, 1.2905675917863846E-002,-1.3959564967080951E-003
5,4,1,4, 3.7100000000000000E+002, 9.7128948974609375E+002, 2.9465350341796875E+002, 1.2338126078248024E-002, 2.9465408325195312E+002, 1.2338824570178986E-002, 2.9465380859375000E+002, 1.2338246218860149E-002, 9.9813668057322502E-003, 5.5415000915527344E+000, 8.5559999942779541E-001, 1.1399842500686646E+000,-2.1099816076457500E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.2338126078248024E-002, 1.2338824570178986E-002,-2.1099816076457500E-003
