i,zet,phim,phih
134,-1.3350000381469727E+001, 1.9378954172134399E-001, 1.3156008720397949E-001
135,-1.3300000190734863E+001, 1.9402337074279785E-001, 1.3173133134841919E-001
136,-1.3250000000000000E+001, 1.9425803422927856E-001, 1.3190120458602905E-001
137,-1.3199999809265137E+001, 1.9449526071548462E-001, 1.3207244873046875E-001
138,-1.3149999618530273E+001, 1.9473338127136230E-001, 1.3224679231643677E-001
139,-1.3100000381469727E+001, 1.9497132301330566E-001, 1.3241976499557495E-001
140,-1.3050000190734863E+001, 1.9521188735961914E-001, 1.3259571790695190E-001
141,-1.3000000000000000E+001, 1.9545352458953857E-001, 1.3277083635330200E-001
142,-1.2949999809265137E+001, 1.9569474458694458E-001, 1.3294702768325806E-001
143,-1.2899999618530273E+001, 1.9593983888626099E-001, 1.3312458992004395E-001
144,-1.2850000381469727E+001, 1.9618374109268188E-001, 1.3330286741256714E-001
145,-1.2800000190734863E+001, 1.9643056392669678E-001, 1.3348233699798584E-001
146,-1.2750000000000000E+001, 1.9667714834213257E-001, 1.3366317749023438E-001
147,-1.2699999809265137E+001, 1.9692742824554443E-001, 1.3384574651718140E-001
148,-1.2649999618530273E+001, 1.9717645645141602E-001, 1.3402718305587769E-001
149,-1.2600000381469727E+001, 1.9742780923843384E-001, 1.3421082496643066E-001
150,-1.2550000190734863E+001, 1.9767993688583374E-001, 1.3439548015594482E-001
151,-1.2500000000000000E+001, 1.9793343544006348E-001, 1.3458156585693359E-001
152,-1.2449999809265137E+001, 1.9818788766860962E-001, 1.3476693630218506E-001
153,-1.2399999618530273E+001, 1.9844496250152588E-001, 1.3495427370071411E-001
154,-1.2350000381469727E+001, 1.9870233535766602E-001, 1.3514375686645508E-001
155,-1.2300000190734863E+001, 1.9896078109741211E-001, 1.3533216714859009E-001
156,-1.2250000000000000E+001, 1.9922196865081787E-001, 1.3552272319793701E-001
157,-1.2199999809265137E+001, 1.9948285818099976E-001, 1.3571417331695557E-001
158,-1.2149999618530273E+001, 1.9974774122238159E-001, 1.3590764999389648E-001
159,-1.2100000381469727E+001, 2.0001178979873657E-001, 1.3610124588012695E-001
160,-1.2050000190734863E+001, 2.0027798414230347E-001, 1.3629609346389771E-001
161,-1.2000000000000000E+001, 2.0054507255554199E-001, 1.3649249076843262E-001
162,-1.1949999809265137E+001, 2.0081263780593872E-001, 1.3669073581695557E-001
163,-1.1899999618530273E+001, 2.0108425617218018E-001, 1.3688766956329346E-001
164,-1.1850000381469727E+001, 2.0135509967803955E-001, 1.3708710670471191E-001
165,-1.1800000190734863E+001, 2.0162844657897949E-001, 1.3728737831115723E-001
166,-1.1750000000000000E+001, 2.0190322399139404E-001, 1.3748955726623535E-001
167,-1.1699999809265137E+001, 2.0218074321746826E-001, 1.3769245147705078E-001
168,-1.1649999618530273E+001, 2.0245712995529175E-001, 1.3789653778076172E-001
169,-1.1600000381469727E+001, 2.0273649692535400E-001, 1.3810211420059204E-001
170,-1.1550000190734863E+001, 2.0301759243011475E-001, 1.3830894231796265E-001
171,-1.1500000000000000E+001, 2.0330059528350830E-001, 1.3851594924926758E-001
172,-1.1449999809265137E+001, 2.0358484983444214E-001, 1.3872635364532471E-001
173,-1.1399999618530273E+001, 2.0387041568756104E-001, 1.3893568515777588E-001
174,-1.1350000381469727E+001, 2.0415717363357544E-001, 1.3914632797241211E-001
175,-1.1300000190734863E+001, 2.0444566011428833E-001, 1.3935947418212891E-001
176,-1.1250000000000000E+001, 2.0473611354827881E-001, 1.3957351446151733E-001
177,-1.1199999809265137E+001, 2.0502853393554688E-001, 1.3979005813598633E-001
178,-1.1149999618530273E+001, 2.0532202720642090E-001, 1.4000564813613892E-001
179,-1.1100000381469727E+001, 2.0561820268630981E-001, 1.4022451639175415E-001
180,-1.1050000190734863E+001, 2.0591485500335693E-001, 1.4044463634490967E-001
181,-1.1000000000000000E+001, 2.0621335506439209E-001, 1.4066565036773682E-001
182,-1.0949999809265137E+001, 2.0651477575302124E-001, 1.4088803529739380E-001
183,-1.0899999618530273E+001, 2.0681679248809814E-001, 1.4111161231994629E-001
184,-1.0850000381469727E+001, 2.0712202787399292E-001, 1.4133608341217041E-001
185,-1.0800000190734863E+001, 2.0742845535278320E-001, 1.4156198501586914E-001
186,-1.0750000000000000E+001, 2.0773577690124512E-001, 1.4178913831710815E-001
187,-1.0699999809265137E+001, 2.0804566144943237E-001, 1.4201861619949341E-001
188,-1.0649999618530273E+001, 2.0835787057876587E-001, 1.4224964380264282E-001
189,-1.0600000381469727E+001, 2.0867091417312622E-001, 1.4248257875442505E-001
190,-1.0550000190734863E+001, 2.0898658037185669E-001, 1.4271551370620728E-001
191,-1.0500000000000000E+001, 2.0930391550064087E-001, 1.4295208454132080E-001
192,-1.0449999809265137E+001, 2.0962345600128174E-001, 1.4318889379501343E-001
193,-1.0399999618530273E+001, 2.0994496345520020E-001, 1.4342719316482544E-001
194,-1.0350000381469727E+001, 2.1026754379272461E-001, 1.4366680383682251E-001
195,-1.0300000190734863E+001, 2.1059376001358032E-001, 1.4390832185745239E-001
196,-1.0250000000000000E+001, 2.1092081069946289E-001, 1.4415097236633301E-001
197,-1.0199999809265137E+001, 2.1124988794326782E-001, 1.4439594745635986E-001
198,-1.0149999618530273E+001, 2.1158140897750854E-001, 1.4464199542999268E-001
199,-1.0100000381469727E+001, 2.1191513538360596E-001, 1.4488947391510010E-001
200,-1.0050000190734863E+001, 2.1225112676620483E-001, 1.4513862133026123E-001
201,-1.0000000000000000E+001, 2.1258807182312012E-001, 1.4539217948913574E-001
202,-9.9499998092651367E+000, 2.1292877197265625E-001, 1.4564484357833862E-001
203,-9.8999996185302734E+000, 2.1327084302902222E-001, 1.4589953422546387E-001
204,-9.8500003814697266E+000, 2.1361470222473145E-001, 1.4615678787231445E-001
205,-9.8000001907348633E+000, 2.1396213769912720E-001, 1.4641445875167847E-001
206,-9.7500000000000000E+000, 2.1431136131286621E-001, 1.4667475223541260E-001
207,-9.6999998092651367E+000, 2.1466225385665894E-001, 1.4693772792816162E-001
208,-9.6499996185302734E+000, 2.1501654386520386E-001, 1.4720112085342407E-001
209,-9.6000003814697266E+000, 2.1537184715270996E-001, 1.4746659994125366E-001
210,-9.5500001907348633E+000, 2.1573060750961304E-001, 1.4773452281951904E-001
211,-9.5000000000000000E+000, 2.1609163284301758E-001, 1.4800250530242920E-001
212,-9.4499998092651367E+000, 2.1645545959472656E-001, 1.4827626943588257E-001
213,-9.3999996185302734E+000, 2.1682041883468628E-001, 1.4854925870895386E-001
214,-9.3500003814697266E+000, 2.1718871593475342E-001, 1.4882433414459229E-001
215,-9.3000001907348633E+000, 2.1755951642990112E-001, 1.4910280704498291E-001
216,-9.2500000000000000E+000, 2.1793377399444580E-001, 1.4938145875930786E-001
217,-9.1999998092651367E+000, 2.1830892562866211E-001, 1.4966267347335815E-001
218,-9.1499996185302734E+000, 2.1868777275085449E-001, 1.4994668960571289E-001
219,-9.1000003814697266E+000, 2.1906924247741699E-001, 1.5023243427276611E-001
220,-9.0500001907348633E+000, 2.1945303678512573E-001, 1.5051925182342529E-001
221,-9.0000000000000000E+000, 2.1983927488327026E-001, 1.5081048011779785E-001
222,-8.9499998092651367E+000, 2.2022908926010132E-001, 1.5110313892364502E-001
223,-8.8999996185302734E+000, 2.2062164545059204E-001, 1.5139752626419067E-001
224,-8.8500003814697266E+000, 2.2101694345474243E-001, 1.5169376134872437E-001
225,-8.8000001907348633E+000, 2.2141432762145996E-001, 1.5199345350265503E-001
226,-8.7500000000000000E+000, 2.2181653976440430E-001, 1.5229409933090210E-001
227,-8.6999998092651367E+000, 2.2221952676773071E-001, 1.5259712934494019E-001
228,-8.6499996185302734E+000, 2.2262626886367798E-001, 1.5290385484695435E-001
229,-8.6000003814697266E+000, 2.2303634881973267E-001, 1.5321201086044312E-001
230,-8.5500001907348633E+000, 2.2344964742660522E-001, 1.5352368354797363E-001
231,-8.5000000000000000E+000, 2.2386580705642700E-001, 1.5383660793304443E-001
232,-8.4499998092651367E+000, 2.2428518533706665E-001, 1.5415215492248535E-001
233,-8.3999996185302734E+000, 2.2470808029174805E-001, 1.5447032451629639E-001
234,-8.3500003814697266E+000, 2.2513324022293091E-001, 1.5479248762130737E-001
235,-8.3000001907348633E+000, 2.2556263208389282E-001, 1.5511417388916016E-001
236,-8.2500000000000000E+000, 2.2599405050277710E-001, 1.5544140338897705E-001
237,-8.1999998092651367E+000, 2.2643035650253296E-001, 1.5577059984207153E-001
238,-8.1499996185302734E+000, 2.2686952352523804E-001, 1.5610140562057495E-001
239,-8.1000003814697266E+000, 2.2731178998947144E-001, 1.5643614530563354E-001
240,-8.0500001907348633E+000, 2.2775834798812866E-001, 1.5677320957183838E-001
241,-8.0000000000000000E+000, 2.2820854187011719E-001, 1.5711355209350586E-001
242,-7.9499998092651367E+000, 2.2866094112396240E-001, 1.5745490789413452E-001
243,-7.8999996185302734E+000, 2.2911840677261353E-001, 1.5780079364776611E-001
244,-7.8500003814697266E+000, 2.2957992553710938E-001, 1.5815079212188721E-001
